,id,name,carb,protein,fat,salt,kcal
324,D10036,베스트 콰트로(씬 L),0,15,0,698,306
325,D10037,베스트 콰트로(씬 M),0,19,0,868,457
326,D10038,베스트 콰트로(슈퍼시드 함유 도우L),0,12,0,540,274
327,D10039,베스트 콰트로(슈퍼시드 함유 도우M),0,13,0,517,322
328,D10040,베스트 콰트로 더블치즈엣지(오리지널 L),0,17,0,636,393
329,D10041,베스트 콰트로 더블치즈엣지(오리지널 M),0,19,0,732,384
330,D10042,베이컨체더치즈(오리지널 L),0,23,0,907,455
331,D10043,베이컨체더치즈(오리지널 M),0,14,0,399,311
332,D10044,베이컨체더치즈(나폴리L),0,18,0,529,356
333,D10045,베이컨체더치즈(나폴리M),0,24,0,696,465
334,D10046,베이컨체더치즈(씬 L),0,21,0,606,382
335,D10047,베이컨체더치즈(씬 M),0,22,0,671,437
336,D10048,베이컨체더치즈(슈퍼시드 함유 도우L),0,19,0,525,377
337,D10049,베이컨체더치즈(슈퍼시드 함유 도우M),0,14,0,455,307
338,D10050,베이컨체더치즈 더블치즈엣지(오리지널 L),0,17,0,500,355
339,D10051,베이컨체더치즈 더블치즈엣지(오리지널 M),0,18,0,508,364
340,D10052,불고기(오리지널 L),0,21,0,624,436
341,D10053,불고기(오리지널 M),0,15,0,406,291
342,D10054,불고기(나폴리L),0,16,0,441,319
343,D10055,불고기(나폴리M),0,2,0,696,421
344,D10056,불고기(씬 L),0,14,0,388,250
345,D10057,불고기(씬 M),0,22,0,649,394
346,D10058,불고기(슈퍼시드 함유 도우L),0,18,0,545,312
347,D10059,불고기(슈퍼시드 함유 도우M),0,15,0,400,301
348,D10060,불고기 더블치즈엣지(오리지널 L),0,16,0,458,342
349,D10061,불고기 더블치즈엣지(오리지널 M),0,18,0,490,350
350,D10062,블랙앵거스 스테이크(오리지널 L),0,21,0,571,405
351,D10063,블랙앵거스 스테이크(오리지널 M),0,14,0,471,307
352,D10064,블랙앵거스 스테이크(나폴리L),0,17,0,612,383
353,D10065,블랙앵거스 스테이크(나폴리M),0,12,0,440,248
354,D10066,블랙앵거스 스테이크(씬 L),0,14,0,555,296
355,D10067,블랙앵거스 스테이크(씬 M),0,20,0,736,459
356,D10068,블랙앵거스 스테이크(슈퍼시드 함유 도우L),0,12,0,413,266
357,D10069,블랙앵거스 스테이크(슈퍼시드 함유 도우M),0,14,0,487,301
358,D10070,블랙앵거스 스테이크 더블치즈엣지(오리지널 L),0,17,0,611,369
359,D10071,블랙앵거스 스테이크 더블치즈엣지(오리지널 M),0,19,0,743,388
360,D10072,블랙타이거 슈림프(오리지널 L),0,23,0,954,488
361,D10073,블랙타이거 슈림프(오리지널 M),0,13,0,568,288
362,D10074,블랙타이거 슈림프(나폴리M),0,20,0,863,453
363,D10075,블랙타이거 슈림프(나폴리L),0,18,0,819,358
364,D10076,블랙타이거 슈림프(씬 M),0,20,0,956,431
365,D10077,블랙타이거 슈림프(씬 L),0,14,0,674,308
366,D10078,블랙타이거 슈림프(슈퍼시드 함유 도우L),0,18,0,821,403
367,D10079,블랙타이거 슈림프 더블치즈엣지(오리지널 L),0,13,0,517,290
368,D10080,블랙타이거슈림프(슈퍼시드 함유 도우M),0,18,0,770,363
369,D10081,블랙타이거슈림프 더블치즈엣지(오리지널 M),0,21,0,884,468
370,D10082,슈퍼디럭스(오리지널 L),0,32,0,1362,625
371,D10083,슈퍼디럭스(오리지널 M),0,17,0,439,307
372,D10084,슈퍼디럭스(나폴리L),0,19,0,481,386
373,D10085,슈퍼디럭스(나폴리M),0,12,0,358,251
374,D10086,슈퍼디럭스(씬 L),0,15,0,408,282
375,D10087,슈퍼디럭스(씬 M),0,24,0,692,450
376,D10088,슈퍼디럭스(슈퍼시드 함유 도우L),0,20,0,542,393
377,D10089,슈퍼디럭스(슈퍼시드 함유 도우M),0,14,0,533,332
378,D10090,슈퍼디럭스 더블치즈엣지(오리지널 L),0,16,0,629,373
379,D10091,슈퍼디럭스 더블치즈엣지(오리지널 M),0,19,0,587,359
380,D10092,슈퍼슈프림(오리지널 L),0,24,0,669,452
381,D10093,슈퍼슈프림(오리지널 M),0,17,0,462,321
382,D10094,슈퍼슈프림(나폴리L),0,20,0,461,366
383,D10095,슈퍼슈프림(나폴리M),0,14,0,392,246
384,D10096,슈퍼슈프림(씬 L),0,16,0,494,291
385,D10097,슈퍼슈프림(씬 M),0,13,0,353,236
386,D10098,슈퍼슈프림(슈퍼시드 함유 도우L),0,15,0,376,251
387,D10099,슈퍼슈프림(슈퍼시드 함유 도우M),0,15,0,579,335
388,D10100,슈퍼슈프림 더블치즈엣지(오리지널 L),0,19,0,628,385
389,D10101,슈퍼슈프림 더블치즈엣지(오리지널 M),0,21,0,518,374
390,D10102,와규 앤 비스테카(오리지널 L),0,24,0,587,433
391,D10103,와규 앤 비스테카(오리지널 M),0,14,0,374,305
392,D10104,와규 앤 비스테카(나폴리L),0,16,0,387,377
393,D10105,와규 앤 비스테카(나폴리M),0,16,0,310,247
394,D10106,와규 앤 비스테카(씬 L),0,18,0,379,306
395,D10107,와규 앤 비스테카(씬 M),0,23,0,602,477
396,D10108,와규 앤 비스테카(슈퍼시드 함유 도우L),0,12,0,307,262
397,D10109,와규 앤 비스테카(슈퍼시드 함유 도우M),0,13,0,363,306
398,D10110,와규 앤 비스테카 더블치즈엣지(오리지널 L),0,16,0,399,354
399,D10111,와규 앤 비스테카 더블치즈엣지(오리지널 M),0,19,0,712,388
400,D10112,우리 고구마(오리지널 L),0,25,0,934,484
401,D10113,우리 고구마(오리지널 M),0,13,0,441,321
402,D10114,우리 고구마(나폴리L),0,15,0,552,372
403,D10115,우리 고구마(나폴리M),0,11,0,406,273
404,D10116,우리 고구마(씬 L),0,12,0,475,311
405,D10117,우리 고구마(씬 M),0,19,0,682,482
406,D10118,우리 고구마(슈퍼시드 함유 도우L),0,10,0,389,277
407,D10119,우리 고구마(슈퍼시드 함유 도우M),0,13,0,494,338
408,D10120,우리 고구마 더블치즈엣지(오리지널 L),0,15,0,529,399
409,D10121,우리 고구마 더블치즈엣지(오리지널 M),0,18,0,696,399
410,D10122,직화 스테이크(오리지널 L),0,22,0,829,482
411,D10123,직화 스테이크(오리지널 M),0,14,0,587,304
412,D10124,직화 스테이크(나폴리L),0,20,0,752,370
413,D10125,직화 스테이크(나폴리M),0,12,0,497,240
414,D10126,직화 스테이크(씬 L),0,16,0,668,314
415,D10127,직화 스테이크(씬 M),0,20,0,886,444
416,D10128,직화 스테이크(슈퍼시드 함유 도우L),0,14,0,552,308
417,D10129,직화 스테이크(슈퍼시드 함유 도우M),0,14,0,568,308
418,D10130,직화 스테이크 더블치즈엣지(오리지널 M),0,18,0,756,406
